City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Sorong,ID,2022-08-12 14:37:00,-0.8833,131.25,79.34,86,100,8.37
217,Port Augusta,AU,2022-08-12 14:37:00,-32.5,137.7667,46.8,91,17,8.43
218,Beringovskiy,RU,2022-08-12 14:37:01,63.05,179.3167,51.71,93,100,6.4
219,Tupik,RU,2022-08-12 14:37:01,54.4253,119.9327,52.16,91,100,1.79
220,Teahupoo,PF,2022-08-12 14:37:01,-17.8333,-149.2667,71.56,74,42,20.18
221,Ust-Koksa,RU,2022-08-12 14:37:02,50.2696,85.6108,59.18,71,79,0.38
222,Ngatea,NZ,2022-08-12 14:37:02,-37.2833,175.5,45.03,85,67,1.3
223,Airai,TL,2022-08-12 14:37:02,-8.9266,125.4092,57.94,90,16,3.02
224,Bathsheba,BB,2022-08-12 14:37:03,13.2167,-59.5167,88.41,66,40,23.02
225,Cap Malheureux,MU,2022-08-12 14:37:03,-19.9842,57.6142,69.48,67,1,8.99
226,Hasaki,JP,2022-08-12 14:37:04,35.7333,140.8333,81.28,85,100,22.79
227,Puerto Ayacucho,VE,2022-08-12 14:37:04,5.6639,-67.6236,80.38,81,75,4.25
228,Sioux Lookout,CA,2022-08-12 14:33:23,50.1001,-91.917,64.47,72,75,4.61
229,Vihari,PK,2022-08-12 14:37:04,30.0333,72.35,94.12,42,43,6.93
230,Egvekinot,RU,2022-08-12 14:37:05,66.3167,-179.1667,49.28,90,100,1.03
231,Sandomierz,PL,2022-08-12 14:37:05,50.6827,21.749,76.78,70,100,8.01
232,Nandgaon,IN,2022-08-12 14:37:05,20.3167,74.65,75.92,84,90,14.52
233,Puri,IN,2022-08-12 14:35:21,19.8,85.85,81.12,81,100,8.79
234,Kenai,US,2022-08-12 14:37:06,60.5544,-151.2583,57.29,96,75,13.8
235,Maceio,BR,2022-08-12 14:37:06,-9.6658,-35.7353,85.44,65,75,11.5
236,Bonavista,CA,2022-08-12 14:37:07,48.6499,-53.1147,61.83,83,89,8.86
237,Fort-Shevchenko,KZ,2022-08-12 14:37:07,44.5086,50.263,86.83,43,57,13.35
238,Masvingo,ZW,2022-08-12 14:37:07,-20.0637,30.8277,77.31,19,0,3.91
239,Antofagasta,CL,2022-08-12 14:32:28,-23.65,-70.4,56.48,64,59,10.16
240,Chuy,UY,2022-08-12 14:37:08,-33.6971,-53.4616,60.75,76,28,8.41
241,Tadine,NC,2022-08-12 14:37:08,-21.55,167.8833,67.77,67,2,14.23
242,Pawai,IN,2022-08-12 14:37:08,24.2667,80.1667,77.52,92,67,5.73
243,Kyra,RU,2022-08-12 14:37:09,49.5776,111.9753,53.42,74,51,4.76
244,Taoudenni,ML,2022-08-12 14:37:09,22.6783,-3.9836,114.01,8,0,3.29
245,Lorengau,PG,2022-08-12 14:37:09,-2.0226,147.2712,80.24,79,99,8.5
246,Bubaque,GW,2022-08-12 14:37:09,11.2833,-15.8333,77.5,86,100,21.81
247,Reconquista,AR,2022-08-12 14:37:10,-29.15,-59.65,67.77,56,100,13.78
248,Weihai,CN,2022-08-12 14:37:10,37.5017,122.1136,76.93,94,15,8.41
249,Pevek,RU,2022-08-12 14:37:10,69.7008,170.3133,31.71,91,99,11.86
250,Aiquile,BO,2022-08-12 14:37:11,-18.2041,-65.1807,74.28,18,6,4.61
251,Gimli,CA,2022-08-12 14:37:11,50.6336,-96.9907,64.74,64,100,7.61
252,Saint-Augustin,CA,2022-08-12 14:37:11,51.226,-58.6502,68.32,77,87,16.42
253,Dutse,NG,2022-08-12 14:37:12,11.7594,9.3392,82.38,65,95,7.0
254,Salalah,OM,2022-08-12 14:37:12,17.0151,54.0924,77.09,100,100,4.61
255,Yandyki,RU,2022-08-12 14:37:12,45.7691,47.1258,88.77,24,72,14.61
256,Buchanan,LR,2022-08-12 14:37:13,5.8808,-10.0467,79.11,74,100,12.08
