City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather Description
234,Narsaq,GL,60.9167,-46.05,55.62,95,49,2.04,scattered clouds
235,Porto Santo,PT,33.072,-16.3415,71.98,78,20,11.5,few clouds
236,Ayni,TJ,39.3941,68.5377,71.62,39,0,3.0,clear sky
237,Hamilton,US,39.1834,-84.5333,76.77,86,100,4.61,overcast clouds
238,Terra Santa,BR,-2.1042,-56.4869,74.93,86,86,4.21,overcast clouds
239,Puerto Escondido,MX,15.85,-97.0667,85.03,58,40,3.44,scattered clouds
240,Carauari,BR,-4.8828,-66.8958,78.33,75,63,2.66,broken clouds
241,Fortuna,US,40.5982,-124.1573,67.93,82,100,12.66,overcast clouds
242,Rimbey,CA,52.6334,-114.2353,73.62,65,54,9.48,broken clouds
243,Chimoio,MZ,-19.1164,33.4833,66.06,42,0,6.02,clear sky
244,Khorramshahr,IR,30.4397,48.1664,87.75,74,0,0.0,clear sky
245,Okha,RU,53.5739,142.9478,59.0,86,96,7.63,overcast clouds
246,Olafsvik,IS,64.8945,-23.7142,47.66,67,13,6.35,few clouds
247,Aykhal,RU,66.0,111.5,47.08,81,100,9.28,overcast clouds
248,Oleksandrivka,UA,48.9634,32.2349,75.76,45,60,15.52,broken clouds
249,Vestmannaeyjar,IS,63.4427,-20.2734,48.52,69,9,16.98,clear sky
250,Severnoye,RU,56.3491,78.3619,46.74,97,36,9.37,scattered clouds
251,Berlevag,NO,70.8578,29.0864,48.2,81,100,8.05,overcast clouds
252,Nuuk,GL,64.1835,-51.7216,47.01,87,100,23.02,overcast clouds
253,Tefe,BR,-3.3542,-64.7114,78.91,94,40,4.61,scattered clouds
254,Kattivakkam,IN,13.2167,80.3167,84.29,85,100,7.29,overcast clouds
255,Magistralnyy,RU,56.1725,107.4458,56.39,91,98,6.53,overcast clouds
256,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,8.05,clear sky
257,Lagoa,PT,39.05,-27.9833,74.66,83,6,13.0,clear sky
258,Rundu,NA,-17.9333,19.7667,56.57,23,0,5.84,clear sky
259,Atasu,KZ,48.6814,71.6433,61.61,54,0,12.71,clear sky
260,Tamandare,BR,-8.7597,-35.1047,74.08,76,28,9.46,scattered clouds
261,Hurghada,EG,27.2574,33.8129,84.24,32,0,11.5,clear sky
262,Carlos Antonio Lopez,PY,-26.4,-54.7667,64.27,78,21,3.2,few clouds
263,Chara,RU,56.9064,118.2631,57.54,67,100,0.43,overcast clouds
264,Iqaluit,CA,63.7506,-68.5145,46.13,71,75,9.22,broken clouds
265,Nanortalik,GL,60.1432,-45.2371,45.03,98,98,8.21,overcast clouds
266,Semey,KZ,50.4111,80.2275,50.22,93,0,6.71,clear sky
267,Denpasar,ID,-8.65,115.2167,78.46,94,40,3.44,scattered clouds
268,Souillac,MU,-20.5167,57.5167,66.58,94,75,12.66,light rain
269,Malkangiri,IN,18.35,81.9,72.99,95,100,7.96,heavy intensity rain
270,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,75,16.11,broken clouds
271,Malinyi,TZ,-8.9333,36.1333,66.34,73,58,0.78,broken clouds
272,Filingue,NE,14.3521,3.3168,81.64,57,99,11.34,overcast clouds
273,Pahrump,US,36.2083,-115.9839,100.45,19,30,8.01,scattered clouds
274,Belaya Gora,RU,68.5333,146.4167,52.16,54,26,12.84,scattered clouds
275,Alice Springs,AU,-23.7,133.8833,54.95,30,0,4.61,clear sky
276,Karratha,AU,-20.7377,116.8463,72.55,51,1,4.68,clear sky
277,Menongue,AO,-14.6585,17.691,53.85,23,1,1.57,clear sky
278,Esik,KZ,43.3552,77.4525,62.02,36,13,5.84,few clouds
279,Batemans Bay,AU,-35.7167,150.1833,57.09,44,37,11.03,scattered clouds
280,Portland,US,45.5234,-122.6762,87.87,42,20,11.5,few clouds
281,Saint-Philippe,RE,-21.3585,55.7679,65.79,78,45,13.96,scattered clouds
282,Sorland,NO,67.667,12.6934,53.46,79,100,14.85,overcast clouds
283,Sheksna,RU,59.21,38.5107,64.33,81,79,4.25,broken clouds
284,Sabzevar,IR,36.2126,57.6819,69.08,32,0,6.91,clear sky
285,Tangwani,PK,28.2787,68.9972,84.67,71,46,3.56,scattered clouds
286,Camacupa,AO,-12.0167,17.4833,60.93,21,30,3.91,scattered clouds
287,Saint-Augustin,CA,51.226,-58.6502,58.8,96,100,17.16,overcast clouds
288,Asau,RO,46.4333,26.4,63.52,90,94,4.32,overcast clouds
289,Sagua La Grande,CU,22.8067,-80.0756,81.59,83,76,5.59,broken clouds
290,Ilulissat,GL,69.2167,-51.1,42.93,82,100,10.56,overcast clouds
291,Coos Bay,US,43.3665,-124.2179,77.31,86,0,20.71,clear sky
292,Springdale,US,36.1867,-94.1288,93.31,46,0,5.75,clear sky
293,Vondrozo,MG,-22.8167,47.2833,56.86,97,27,1.43,scattered clouds
294,Hambantota,LK,6.1241,81.1185,77.31,89,77,11.12,broken clouds
295,Atar,MR,20.5169,-13.0499,79.81,56,64,15.3,moderate rain
296,Koumra,TD,8.9126,17.5539,70.66,98,100,4.5,light rain
297,Norman,US,35.2226,-97.4395,100.81,28,0,9.22,clear sky
298,Abu Zabad,SD,12.35,29.25,70.54,91,99,7.99,light rain
